,log_id,problem_id,user_id,is_correct,attempts,score_x,submit_time,concept_id,title,content,option,answer,score_y,type,typetext,location,context_id,exercise_id,language
195,14956092_146667,Pm_146667,U_14956092,1,1,2.0,2020-05-25 06:39:52,K_切换用户_计算机科学与技术,管好用户--管好用户测试,关于切换用户命令su，下面描述正确的是：,"{'A': '由根用户切换普通用户时需要输入用户密码', 'B': '由普通用户切换根用户时需要输入用户密码', 'C': '由普通用户之间相互切换时需要输入用户密码', 'D': '由根用户切换为虚拟用户时需要输入用户密码', 'E': '切换用户身份后，对系统的访问权限也随之改变'}","[""B"", ""C"", ""E""]",2.0,2.0,多选题,5.9,"[6197161, 6197163, 6197165, 6197167, 6197168]",Ex_116907,Chinese
196,14956092_146668,Pm_146668,U_14956092,1,1,2.0,2020-05-25 06:40:23,K_登录_计算机科学与技术,管好用户--管好用户测试,关于CentOS中的usermod命令，下面描述正确的是：,"{'A': '用-u选项修改用户的UID时，必须确保这个UID未曾被别人使用', 'B': '用–G来修改用户的从属用户组的时候，如果用户组不存在，Linux会自动创建这个用户组', 'C': '在用户已经登录系统的情况下，无法修改用户的UID', 'D': '在用户已经登录系统的情况下，可以用-l选项修改用户的用户名', 'E': '用-d选项修改用户的家目录时，必须确保要指定的目录已经存在'}","[""A"", ""C"", ""E""]",2.0,2.0,多选题,5.9,"[6197161, 6197163, 6197165, 6197167, 6197168]",Ex_116907,Chinese
197,14956092_146668,Pm_146668,U_14956092,1,1,2.0,2020-05-25 06:40:23,K_登录_计算机科学与技术,管好用户--管好用户测试,关于CentOS中的usermod命令，下面描述正确的是：,"{'A': '用-u选项修改用户的UID时，必须确保这个UID未曾被别人使用', 'B': '用–G来修改用户的从属用户组的时候，如果用户组不存在，Linux会自动创建这个用户组', 'C': '在用户已经登录系统的情况下，无法修改用户的UID', 'D': '在用户已经登录系统的情况下，可以用-l选项修改用户的用户名', 'E': '用-d选项修改用户的家目录时，必须确保要指定的目录已经存在'}","[""A"", ""C"", ""E""]",2.0,2.0,多选题,5.9,"[6197161, 6197163, 6197165, 6197167, 6197168]",Ex_116907,Chinese
198,14956092_146668,Pm_146668,U_14956092,1,1,2.0,2020-05-25 06:40:23,K_用户组_计算机科学与技术,管好用户--管好用户测试,关于CentOS中的usermod命令，下面描述正确的是：,"{'A': '用-u选项修改用户的UID时，必须确保这个UID未曾被别人使用', 'B': '用–G来修改用户的从属用户组的时候，如果用户组不存在，Linux会自动创建这个用户组', 'C': '在用户已经登录系统的情况下，无法修改用户的UID', 'D': '在用户已经登录系统的情况下，可以用-l选项修改用户的用户名', 'E': '用-d选项修改用户的家目录时，必须确保要指定的目录已经存在'}","[""A"", ""C"", ""E""]",2.0,2.0,多选题,5.9,"[6197161, 6197163, 6197165, 6197167, 6197168]",Ex_116907,Chinese
200,14956092_146670,Pm_146670,U_14956092,0,1,0.0,2020-05-25 06:41:38,K_登录_计算机科学与技术,管好用户--管好用户测试,关于CentOS中的修改用户组命令groupmod，下面描述正确的是：,"{'A': '随意更改用户组的 GID可能会造成系统混乱', 'B': '带选项–n可以修改用户组名', 'C': '更改用户组名可能会造成系统混乱', 'D': '如果有用户将某用户组作为其主用户组，那么在用户已经登录系统的情况下，无法修改这个用户组名'}","[""A"", ""B""]",2.0,2.0,多选题,5.9,"[6197161, 6197163, 6197165, 6197167, 6197168]",Ex_116907,Chinese
201,14956092_146671,Pm_146671,U_14956092,1,1,2.0,2020-05-25 06:42:21,K_系统管理员_计算机科学与技术,管好用户--管好用户测试,下面关于Linux系统用户管理的说法，哪些是错误的？,"{'A': '作为掌握根用户口令系统管理员，理论上最好只有一个', 'B': '要执行一个根用户才有权限执行的命令，必须先切换为根用户身份', 'C': '可以通过某种方法分配给普通用户一些合理的根用户“权力”', 'D': '系统中的根用户只能有一个', 'E': '要与其他人共享根用户权限，就需要告诉他根用户密码'}","[""B"", ""E""]",2.0,2.0,多选题,5.9,"[6197161, 6197163, 6197165, 6197167, 6197168]",Ex_116907,Chinese
202,14956092_146671,Pm_146671,U_14956092,1,1,2.0,2020-05-25 06:42:21,K_用户权限_计算机科学与技术,管好用户--管好用户测试,下面关于Linux系统用户管理的说法，哪些是错误的？,"{'A': '作为掌握根用户口令系统管理员，理论上最好只有一个', 'B': '要执行一个根用户才有权限执行的命令，必须先切换为根用户身份', 'C': '可以通过某种方法分配给普通用户一些合理的根用户“权力”', 'D': '系统中的根用户只能有一个', 'E': '要与其他人共享根用户权限，就需要告诉他根用户密码'}","[""B"", ""E""]",2.0,2.0,多选题,5.9,"[6197161, 6197163, 6197165, 6197167, 6197168]",Ex_116907,Chinese
203,14956092_146671,Pm_146671,U_14956092,1,1,2.0,2020-05-25 06:42:21,K_权力_计算机科学与技术,管好用户--管好用户测试,下面关于Linux系统用户管理的说法，哪些是错误的？,"{'A': '作为掌握根用户口令系统管理员，理论上最好只有一个', 'B': '要执行一个根用户才有权限执行的命令，必须先切换为根用户身份', 'C': '可以通过某种方法分配给普通用户一些合理的根用户“权力”', 'D': '系统中的根用户只能有一个', 'E': '要与其他人共享根用户权限，就需要告诉他根用户密码'}","[""B"", ""E""]",2.0,2.0,多选题,5.9,"[6197161, 6197163, 6197165, 6197167, 6197168]",Ex_116907,Chinese
206,14956092_146674,Pm_146674,U_14956092,0,1,0.0,2020-05-25 06:43:33,K_用户配置文件_计算机科学与技术,管好用户--管好用户测试,关于Linux中用的用户配置文件，下面描述正确的是：,"{'A': '/etc/passwd中存放着用户加密后的密码', 'B': '/etc/passwd中存放着用户的主用户组信息', 'C': '如果用户密码为空，/etc/passwd的第二个字段将出现叹号！或者星号 *', 'D': '/etc/shadow 中第三个字段表示的密码最后一次修改时间', 'E': '可以通过修改passwd 和 shadow文件的内容来修改用户属性'}","[""B"", ""D"", ""E""]",2.0,2.0,多选题,5.9,"[6197161, 6197163, 6197165, 6197167, 6197168]",Ex_116907,Chinese
208,14956092_146677,Pm_146677,U_14956092,1,1,1.0,2020-05-25 08:18:08,K_分区表_计算机科学与技术,管好硬盘--管好硬盘测试,fdisk命令中将分区写入分区表的指令是：,"{'A': 'w', 'B': 's', 'C': 'r', 'D': 'ctrl+s'}","[""A""]",1.0,1.0,单选题,6.6,"[6197171, 6197172, 6197173]",Ex_116912,Chinese
211,14956092_146680,Pm_146680,U_14956092,1,1,1.0,2020-05-25 08:19:17,K_逻辑分区_计算机科学与技术,管好硬盘--管好硬盘测试,将主机的第二块SCSI接口硬盘上的第2个格式化为ext4文件系统的逻辑分区以只读方式挂载到/tmp_disk目录上的命令是:,"{'A': 'mount -t ext4 -o rw /dev/sdb6 /tmp_disk', 'B': 'mount -t ext4 -o ro /dev/sdb2 /tmp_disk', 'C': 'mount -t ext4 -o ro /dev/sdb6 /tmp_disk', 'D': 'mount -t ext4 -o rw /dev/sdb6 /tmp_disk'}","[""C""]",1.0,1.0,单选题,6.6,"[6197171, 6197172, 6197173]",Ex_116912,Chinese
212,14956092_146681,Pm_146681,U_14956092,1,1,2.0,2020-05-25 08:19:30,K_设备名_计算机科学与技术,管好硬盘--管好硬盘测试,关于Linux中开机自动挂载分区配置文件/etc/fstab，下面描述正确的是:,"{'A': '第一个字段可以填入要开机挂载的设备名', 'B': '第一个字段可以填入要开机挂载的设备标签', 'C': '第一个字段可以填入要开机挂载的设备UUID', 'D': '第一个字段可以填入要开机挂载的设备别名'}","[""A"", ""B"", ""C""]",2.0,2.0,多选题,6.6,"[6197171, 6197172, 6197173]",Ex_116912,Chinese
216,14956092_146685,Pm_146685,U_14956092,0,1,0.0,2020-05-25 08:22:00,K_系统目录_计算机科学与技术,管好硬盘--管好硬盘测试,关于Linux中挂载分区，下面描述正确的是：,"{'A': '划分并格式化好的分区要挂载到系统目录树中的某个目录上才能被访问', 'B': '分区只能够挂载在空目录上', 'C': '分区的挂载目录被称为挂载点', 'D': '所有类型的分区都能被挂载', 'E': '分区可以被同时挂载在不同的目录上'}","[""A"", ""C"", ""E""]",2.0,2.0,多选题,6.6,"[6197171, 6197172, 6197173]",Ex_116912,Chinese
217,14956092_146685,Pm_146685,U_14956092,0,1,0.0,2020-05-25 08:22:00,K_挂载点_计算机科学与技术,管好硬盘--管好硬盘测试,关于Linux中挂载分区，下面描述正确的是：,"{'A': '划分并格式化好的分区要挂载到系统目录树中的某个目录上才能被访问', 'B': '分区只能够挂载在空目录上', 'C': '分区的挂载目录被称为挂载点', 'D': '所有类型的分区都能被挂载', 'E': '分区可以被同时挂载在不同的目录上'}","[""A"", ""C"", ""E""]",2.0,2.0,多选题,6.6,"[6197171, 6197172, 6197173]",Ex_116912,Chinese
218,14956092_146686,Pm_146686,U_14956092,0,1,0.0,2020-05-25 08:23:08,K_设备名_计算机科学与技术,管好硬盘--管好硬盘测试,关于Linux中卸载分区，下面描述正确的是：,"{'A': '可以用设备名来卸载分区', 'B': '如果分区中文件正在被访问，分区不可卸载', 'C': '可以用挂载点来卸载分区', 'D': '如果分区挂载在一个原本有文件存放着的目录上，分区卸载后，这些文件仍旧可访问'}","[""A"", ""B"", ""C"", ""D""]",2.0,2.0,多选题,6.6,"[6197171, 6197172, 6197173]",Ex_116912,Chinese
219,14956092_146686,Pm_146686,U_14956092,0,1,0.0,2020-05-25 08:23:08,K_挂载点_计算机科学与技术,管好硬盘--管好硬盘测试,关于Linux中卸载分区，下面描述正确的是：,"{'A': '可以用设备名来卸载分区', 'B': '如果分区中文件正在被访问，分区不可卸载', 'C': '可以用挂载点来卸载分区', 'D': '如果分区挂载在一个原本有文件存放着的目录上，分区卸载后，这些文件仍旧可访问'}","[""A"", ""B"", ""C"", ""D""]",2.0,2.0,多选题,6.6,"[6197171, 6197172, 6197173]",Ex_116912,Chinese
220,14956092_146687,Pm_146687,U_14956092,1,1,1.0,2020-05-25 08:23:37,K_逻辑分区_计算机科学与技术,管好硬盘--管好硬盘测试,主机上第三块SCSI接口的硬盘中第一个逻辑分区的设备文件名字是,"{'A': 'sdc1', 'B': 'sda1', 'C': 'sdc4', 'D': 'sda4', 'E': 'sdc5'}","[""E""]",1.0,1.0,单选题,6.6,"[6197171, 6197172, 6197173]",Ex_116912,Chinese
221,14956092_146689,Pm_146689,U_14956092,1,1,1.0,2020-05-27 10:05:50,K_ipconfig_计算机科学与技术,管好网络--管好网络测试,可以用哪个命令测试两台主机之间网络的连通性。,"{'A': 'ping', 'B': 'ifconfig', 'C': 'ipconfig', 'D': 'route'}","[""A""]",1.0,1.0,单选题,7.4,"[6197175, 6197176]",Ex_116915,Chinese
226,14956092_146694,Pm_146694,U_14956092,1,1,1.0,2020-05-27 10:06:45,K_调试_计算机科学与技术,管好网络--管好网络测试,回环接口为系统提供一个单机网络环境，一般用于网络程序的调试。,"{'true': '正确', 'false': '错误'}","[""true""]",1.0,6.0,判断题,7.4,"[6197175, 6197176]",Ex_116915,Chinese
229,14956092_146697,Pm_146697,U_14956092,1,1,2.0,2020-05-27 10:08:38,K_主机名_计算机科学与技术,管好网络--管好网络测试,关于修改主机名，下面那些说法是正确的：,"{'A': '需要修改/etc/sysconfig/network文件', 'B': '需要修改/etc/hosts文件', 'C': '需要修改/etc/sysconfig/network-scripts/ifcfg-eth0文件', 'D': '一般需要重启系统，让修改生效'}","[""A"", ""B"", ""D""]",2.0,2.0,多选题,7.4,"[6197175, 6197176]",Ex_116915,Chinese
231,14956092_146699,Pm_146699,U_14956092,1,1,2.0,2020-05-27 10:09:35,K_主机名_计算机科学与技术,管好网络--管好网络测试,关于为网络接口配置DHCP，下面那些说法是正确的：,"{'A': 'DHCP很方便，但是更容易发生配置错误', 'B': 'DHCP服务器可以指定接口的IP地址、子网掩码和网关', 'C': '默认情况下，CentOS使用DHCP协议配置接口网络参数', 'D': 'DHCP服务器还可以指定主机名'}","[""B"", ""C"", ""D""]",2.0,2.0,多选题,7.4,"[6197175, 6197176]",Ex_116915,Chinese
235,14956092_146703,Pm_146703,U_14956092,0,1,0.0,2020-05-27 10:40:13,K_软件资源_计算机科学与技术,管好软件包--管好软件包测试,关于Linux中的软件管理，下面那些选项是正确的？,"{'A': '在某个Linux发行版下开发和编译的程序，直接放到另外一个Linux发行版下有可能性无法运行', 'B': '早期的Linux的软件都是通过源码来分发', 'C': 'RPM是所有Linux发现版本上的通用的软件包管理器', 'D': 'RPM是Linux下软件资源最丰富的软件包类型'}","[""A"", ""B"", ""D""]",2.0,2.0,多选题,8.5,"[6197179, 6197180, 6197181]",Ex_116919,Chinese
236,14956092_146703,Pm_146703,U_14956092,0,1,0.0,2020-05-27 10:40:13,K_软件管理_计算机科学与技术,管好软件包--管好软件包测试,关于Linux中的软件管理，下面那些选项是正确的？,"{'A': '在某个Linux发行版下开发和编译的程序，直接放到另外一个Linux发行版下有可能性无法运行', 'B': '早期的Linux的软件都是通过源码来分发', 'C': 'RPM是所有Linux发现版本上的通用的软件包管理器', 'D': 'RPM是Linux下软件资源最丰富的软件包类型'}","[""A"", ""B"", ""D""]",2.0,2.0,多选题,8.5,"[6197179, 6197180, 6197181]",Ex_116919,Chinese
237,14956092_146704,Pm_146704,U_14956092,0,1,0.0,2020-05-27 10:40:31,K_全名_计算机科学与技术,管好软件包--管好软件包测试,关于用rpm卸载软件，下面哪些说法是正确的：,"{'A': '使用-r选项', 'B': '使用-e选项', 'C': '卸载软件需要知道软件安装后包括版本号在内的全名', 'D': '卸载软件只需要知道软件名即可', 'E': '卸载一个软件可能会导致系统中别的软件无法使用'}","[""B"", ""C"", ""E""]",2.0,2.0,多选题,8.5,"[6197179, 6197180, 6197181]",Ex_116919,Chinese
238,14956092_146705,Pm_146705,U_14956092,1,1,2.0,2020-05-27 10:40:56,K_软件管理器_计算机科学与技术,管好软件包--管好软件包测试,下面关于yum的说法那些是错误的？,"{'A': 'yum目的就是为了解决RPM管理软件包时的依赖关系难题', 'B': 'yum是一种区别于RPM软件封装模式', 'C': 'yum是红帽系列Linux中的默认软件管理器', 'D': 'yum客户端在安装软件时无需了解该软件包的依赖关系信息'}","[""B"", ""C""]",2.0,2.0,多选题,8.5,"[6197179, 6197180, 6197181]",Ex_116919,Chinese
368,15840481_146588,Pm_146588,U_15840481,1,1,1.0,2020-05-03 20:26:23,K_命令提示符_计算机科学与技术,初识Linux--初识Linux测试,当您在命令提示符的后面输入命令的一部分时，按（__）键，Linux会帮你打剩下的字符，补充成为完整命令，如果有多个相符的命令，连按两下（__）键，Linux会显示所有的相符的命令。,"{'A': 'TAB', 'B': 'CONTRL', 'C': 'SHIFT', 'D': 'SPACE'}","[""A""]",1.0,1.0,单选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
369,15840481_146589,Pm_146589,U_15840481,0,1,0.0,2020-05-03 20:26:39,K_自由软件_计算机科学与技术,初识Linux--初识Linux测试,下面的选项哪些是正确的？,"{'A': 'Linux操作系统是由Linus Torvalds发明的', 'B': 'Linux操作系统是由Richard Stallman发明的', 'C': 'Linus Torvalds和Richard Stallman的工作共同造就了Linux', 'D': '自由软件运动和互联网的兴起造就了Linux操作系统'}","[""C"", ""D""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
371,15840481_146591,Pm_146591,U_15840481,0,1,0.0,2020-05-03 20:27:39,K_闭源_计算机科学与技术,初识Linux--初识Linux测试,"关于CentOS,下面哪些说法是正确的？","{'A': 'CentOS100%兼容红帽企业版(RHEL)', 'B': 'CentOS不提供专门技术支持，不包含封闭源代码软件', 'C': 'CentOS 64位版本可以安装在32位架构的机器上', 'D': 'CentOS是利用用红帽企业版(RHEL)源代码重新编译而成的'}","[""A"", ""B"", ""D""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
372,15840481_146592,Pm_146592,U_15840481,1,1,2.0,2020-05-03 20:28:00,K_Swap分区_计算机科学与技术,初识Linux--初识Linux测试,安装Linux所要的两个最基本的分区分别是以（ ）和（ ）。,"{'A': '/boot分区', 'B': '/home分区', 'C': '根分区', 'D': 'Swap分区'}","[""C"", ""D""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
373,15840481_146593,Pm_146593,U_15840481,1,1,2.0,2020-05-03 20:28:17,K_主机名_计算机科学与技术,初识Linux--初识Linux测试,在Linux中，打开BASH后的命令提示符，能够告诉你有关主机的哪些信息？,"{'A': '登录的主机名', 'B': '登录的用户名', 'C': '用户当前所处的工作目录', 'D': '用户上次登录时间'}","[""A"", ""B"", ""C""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
374,15840481_146593,Pm_146593,U_15840481,1,1,2.0,2020-05-03 20:28:17,K_命令提示符_计算机科学与技术,初识Linux--初识Linux测试,在Linux中，打开BASH后的命令提示符，能够告诉你有关主机的哪些信息？,"{'A': '登录的主机名', 'B': '登录的用户名', 'C': '用户当前所处的工作目录', 'D': '用户上次登录时间'}","[""A"", ""B"", ""C""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
378,15840481_146597,Pm_146597,U_15840481,1,1,2.0,2020-05-03 20:31:18,K_系统管理员_计算机科学与技术,初识Linux--初识Linux测试,下面关于关机和重启的说法，哪些是正确的？,"{'A': '关机是系统管理员要给予充分重视的一件大事.', 'B': 'shutdown -k now 命令用于立即关机', 'C': '不恰当或者不正确的关机和重启，可能会导致数据丢失', 'D': '关机和重启命令默认情况下普通用户亦可执行'}","[""A"", ""C""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
379,15840481_146598,Pm_146598,U_15840481,0,1,0.0,2020-05-03 20:31:33,K_Shell脚本_计算机科学与技术,初识Linux--初识Linux测试,Linux中所谓的命令(Command)，广义上包括：,"{'A': '可执行的二进制文件', 'B': '可执行的库文件', 'C': 'shell脚本文件', 'D': 'shell内建函数'}","[""A"", ""C"", ""D""]",2.0,2.0,多选题,1.9,"[6197117, 6197118, 6197119, 6197120, 6197122]",Ex_116883,Chinese
396,20319134_738102,Pm_738102,U_20319134,0,1,0.0,2020-05-18 00:29:51,K_分布式存储系统_计算机科学与技术,第二讲 分布式存储--QUIZ,为保证从分布式存储系统中读取的数据正确，需要采用哪种数据处理方式（  ）,"{'A': '压缩', 'B': '多份存储', 'C': 'Erasure coding编码', 'D': 'Checksum数据校验'}","[""D""]",1.0,1.0,单选题,2.30,"[585119, 585120, 585121, 585122, 585124, 585125, 585126, 585127, 585128, 585129, 585130, 585132, 585133, 585134, 585135, 585136, 585137, 585138, 585139, 585140, 585141, 585143, 585144, 585146, 585147, 585148, 585150]",Ex_585151,Chinese
398,20319134_738104,Pm_738104,U_20319134,0,1,0.0,2020-05-18 00:29:55,K_级控_计算机科学与技术,第二讲 分布式存储--QUIZ,对于数据复制中的两种技术Replication和Rebalance的异同点描述不正确的是（  ）,"{'A': 'Repication的主要目的是为了保证数据可靠，防止数据丢失', 'B': 'Rebalance的主要目的是为了清理系统中的多余数据，提高空间利用率', 'C': 'Replication和Rebalance都需要考虑到数据在数据中心中的存放位置，提高由于硬件失效带来的数据不可用', 'D': 'Replication和Rebalance需要有优先级控制，防止数据复制不及时造成数据丢失'}","[""B""]",1.0,1.0,单选题,2.30,"[585119, 585120, 585121, 585122, 585124, 585125, 585126, 585127, 585128, 585129, 585130, 585132, 585133, 585134, 585135, 585136, 585137, 585138, 585139, 585140, 585141, 585143, 585144, 585146, 585147, 585148, 585150]",Ex_585151,Chinese
399,20319134_738104,Pm_738104,U_20319134,0,1,0.0,2020-05-18 00:29:55,K_数据复制_计算机科学与技术,第二讲 分布式存储--QUIZ,对于数据复制中的两种技术Replication和Rebalance的异同点描述不正确的是（  ）,"{'A': 'Repication的主要目的是为了保证数据可靠，防止数据丢失', 'B': 'Rebalance的主要目的是为了清理系统中的多余数据，提高空间利用率', 'C': 'Replication和Rebalance都需要考虑到数据在数据中心中的存放位置，提高由于硬件失效带来的数据不可用', 'D': 'Replication和Rebalance需要有优先级控制，防止数据复制不及时造成数据丢失'}","[""B""]",1.0,1.0,单选题,2.30,"[585119, 585120, 585121, 585122, 585124, 585125, 585126, 585127, 585128, 585129, 585130, 585132, 585133, 585134, 585135, 585136, 585137, 585138, 585139, 585140, 585141, 585143, 585144, 585146, 585147, 585148, 585150]",Ex_585151,Chinese
402,20319134_738107,Pm_738107,U_20319134,0,1,0.0,2020-05-18 00:30:04,K_存储介质_计算机科学与技术,第二讲 分布式存储--QUIZ,下面对于分布式存储系统中如何选取存储介质的描述错误的是（  ）,"{'A': '为了让程序实现简单高效，存储系统中应该选用单一的存储介质', 'B': '为了节省存储成本，通常在一个分布式存储系统中会使用多种存储介质来实现高性能和大容量的目的', 'C': '不同的使用场景下，应该采用灵活的混合存储方式来满足需求', 'D': '所有存储介质的存储寿命都是一样的，所以寿命不在选取介质类型的考虑范围内'}","[""A"", ""D""]",2.0,2.0,多选题,2.30,"[585119, 585120, 585121, 585122, 585124, 585125, 585126, 585127, 585128, 585129, 585130, 585132, 585133, 585134, 585135, 585136, 585137, 585138, 585139, 585140, 585141, 585143, 585144, 585146, 585147, 585148, 585150]",Ex_585151,Chinese
403,20319134_738107,Pm_738107,U_20319134,0,1,0.0,2020-05-18 00:30:04,K_分布式存储系统_计算机科学与技术,第二讲 分布式存储--QUIZ,下面对于分布式存储系统中如何选取存储介质的描述错误的是（  ）,"{'A': '为了让程序实现简单高效，存储系统中应该选用单一的存储介质', 'B': '为了节省存储成本，通常在一个分布式存储系统中会使用多种存储介质来实现高性能和大容量的目的', 'C': '不同的使用场景下，应该采用灵活的混合存储方式来满足需求', 'D': '所有存储介质的存储寿命都是一样的，所以寿命不在选取介质类型的考虑范围内'}","[""A"", ""D""]",2.0,2.0,多选题,2.30,"[585119, 585120, 585121, 585122, 585124, 585125, 585126, 585127, 585128, 585129, 585130, 585132, 585133, 585134, 585135, 585136, 585137, 585138, 585139, 585140, 585141, 585143, 585144, 585146, 585147, 585148, 585150]",Ex_585151,Chinese
405,20319134_738109,Pm_738109,U_20319134,0,1,0.0,2020-05-18 00:30:19,K_任务调度_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,下面对分布式调度需要解决问题的说法正确的是？(  ),"{'A': '分布式调度主要解决任务调度的问题', 'B': '分布式调度主要解决资源如何分配的问题', 'C': '分布式调度既要解决任务调度也需要解决资源调度的问题', 'D': '以上说法都不对'}","[""C""]",1.0,1.0,单选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
406,20319134_738109,Pm_738109,U_20319134,0,1,0.0,2020-05-18 00:30:19,K_任务调度_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,下面对分布式调度需要解决问题的说法正确的是？(  ),"{'A': '分布式调度主要解决任务调度的问题', 'B': '分布式调度主要解决资源如何分配的问题', 'C': '分布式调度既要解决任务调度也需要解决资源调度的问题', 'D': '以上说法都不对'}","[""C""]",1.0,1.0,单选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
407,20319134_738110,Pm_738110,U_20319134,1,1,1.0,2020-05-18 00:30:21,K_资源调度_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,伏羲分布式调度系统中负责资源调度的角色是？(  ),"{'A': 'FuxiMaster', 'B': 'Tubo', 'C': 'AppMaster', 'D': 'AppWorker'}","[""A""]",1.0,1.0,单选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
411,20319134_738114,Pm_738114,U_20319134,0,1,0.0,2020-05-18 00:30:30,K_高优先级_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,下列关于伏羲资源调度优先级策略的说法错误的是？(  ),"{'A': '每个job在提交时会带一个priority值，一个整数值，越大优先级越高', 'B': '相同优先级按提交时间，先提交的优先级高', 'C': '资源优先分配给高优先级的job，剩余的资源继续分配给次高优先级job', 'D': '允许有高优先级的紧急任务加入'}","[""A""]",1.0,1.0,单选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
412,20319134_738115,Pm_738115,U_20319134,0,1,0.0,2020-05-18 00:30:32,K_资源调度_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,伏羲资源调度支持抢占，下面说法错误的是？(  ),"{'A': 'FuxiMaster会从当前正在运行的任务中，从最低优先级任务开始强制收回资源', 'B': '最低优先级任务被抢占后，抢占过程即终止', 'C': '抢占会一直递归进行', 'D': '不能抢比自己优先级高的任务'}","[""B""]",1.0,1.0,单选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
413,20319134_738116,Pm_738116,U_20319134,0,1,0.0,2020-05-18 00:30:35,K_调度策略_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,阿里云伏羲分布式调度系统与社区Hadoop MR最大的区别是？(  ),"{'A': 'Hadoop是一层架构集中资源和任务调度，而伏羲是两层架构独立的资源和任务调度', 'B': 'Hadoop存在规模瓶颈，而伏羲规模横向扩展性更好', 'C': 'Hadoop与伏羲的调度策略不同', 'D': 'Hadoop jobtracker没有failover，伏羲有完善的failover功能'}","[""A"", ""B"", ""D""]",2.0,2.0,多选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
414,20319134_738116,Pm_738116,U_20319134,0,1,0.0,2020-05-18 00:30:35,K_阿里云_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,阿里云伏羲分布式调度系统与社区Hadoop MR最大的区别是？(  ),"{'A': 'Hadoop是一层架构集中资源和任务调度，而伏羲是两层架构独立的资源和任务调度', 'B': 'Hadoop存在规模瓶颈，而伏羲规模横向扩展性更好', 'C': 'Hadoop与伏羲的调度策略不同', 'D': 'Hadoop jobtracker没有failover，伏羲有完善的failover功能'}","[""A"", ""B"", ""D""]",2.0,2.0,多选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
415,20319134_738117,Pm_738117,U_20319134,0,1,0.0,2020-05-18 00:30:38,K_资源调度_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,伏羲资源调度的目标包括？(  ),"{'A': '集群资源利用率最大化', 'B': '每个任务的资源等待时间最小化', 'C': '能分组控制资源配额', 'D': '能支持临时紧急任务'}","[""A"", ""B"", ""C"", ""D""]",2.0,2.0,多选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
416,20319134_738117,Pm_738117,U_20319134,0,1,0.0,2020-05-18 00:30:38,K_集群_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,伏羲资源调度的目标包括？(  ),"{'A': '集群资源利用率最大化', 'B': '每个任务的资源等待时间最小化', 'C': '能分组控制资源配额', 'D': '能支持临时紧急任务'}","[""A"", ""B"", ""C"", ""D""]",2.0,2.0,多选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
419,20319134_738120,Pm_738120,U_20319134,0,1,0.0,2020-05-18 00:30:53,K_加数_计算机科学与技术,第三讲 资源管理与任务调度--QUIZ,伏羲在支持大规模方面采用了哪些技术？(  ),"{'A': '多线程', 'B': '增量资源调度', 'C': '异步', 'D': '增加数据量'}","[""A"", ""B"", ""C""]",2.0,2.0,多选题,3.9,"[585152, 585153, 585154, 585155, 585157, 585158]",Ex_585159,Chinese
